area,bedrooms,bathrooms,age,location,property_type,floor,facing,amenities_score,price
719.3,2,2,18,Uppal,Studio,24,South-West,0.59,1822909.04
1791.2,2,2,16,Banjara Hills,Villa,3,South,3.28,29406392.8
1720.8,2,1,3,Uppal,Independent House,2,South-West,4.91,6765069.64
2098.1,2,1,27,Uppal,Independent House,10,North,8.5,7881371.61
1889.5,5,5,17,Uppal,Apartment,23,North-East,7.76,6956312.09
2115.0,3,2,7,Miyapur,Independent House,19,North-East,2.16,10529422.51
1339.3,2,1,26,Kondapur,Apartment,8,West,0.5,6645474.52
925.5,2,2,8,Miyapur,Studio,11,North-East,1.32,2896099.97
2560.5,1,1,17,Madhapur,Apartment,1,South,5.03,20826120.41
560.3,2,1,19,Uppal,Apartment,6,South,0.9,1731814.08
615.4,1,1,9,Kukatpally,Independent House,16,West,2.5,3646392.7
1710.8,1,1,30,Kondapur,Independent House,10,West,8.21,11541673.8
2293.7,1,1,24,Kukatpally,Apartment,24,South-West,4.02,10595914.14
1504.3,2,2,10,Kukatpally,Independent House,11,South,9.96,10504364.65
1949.6,3,3,5,Banjara Hills,Apartment,21,East,7.56,27991783.16
302.3,1,1,11,Gachibowli,Independent House,18,South,2.65,3135772.49
1125.3,3,3,16,Gachibowli,Apartment,12,South,0.08,10692182.04
369.3,3,2,19,Banjara Hills,Apartment,21,North-East,5.27,5363901.36
1829.2,4,4,14,Kondapur,Apartment,21,South-West,7.06,13912088.59
549.0,2,1,1,Miyapur,Apartment,8,South,4.7,2425834.96
697.2,4,4,23,Miyapur,Apartment,6,East,9.07,3176569.28
1682.7,4,4,13,Kondapur,Apartment,17,North,7.68,11886659.71
1984.0,5,5,11,Uppal,Apartment,0,West,5.2,6595871.22
1312.6,4,3,19,Kukatpally,Apartment,17,East,0.19,7030186.52
1713.6,2,1,29,Banjara Hills,Apartment,10,South-West,3.38,20492911.76
1695.8,5,4,0,Uppal,Apartment,19,West,4.94,6989259.09
1281.5,4,4,33,Kukatpally,Independent House,3,West,2.5,6239945.63
797.9,2,2,22,Miyapur,Studio,14,North,8.38,2642688.61
1710.7,2,2,19,Kukatpally,Apartment,13,North,4.24,7723867.02
1737.2,4,4,1,Kukatpally,Studio,0,South,2.04,7768424.84
1891.7,2,2,24,Banjara Hills,Apartment,13,West,7.79,25093717.75
1571.6,3,3,25,Kukatpally,Apartment,16,North-East,6.08,7970406.53
757.3,2,2,19,Uppal,Independent House,10,East,1.97,2659731.54
1779.7,3,3,28,Madhapur,Villa,15,South-West,5.33,19420569.57
1399.2,1,1,29,Kukatpally,Villa,8,South-West,6.95,7199814.43
1134.5,3,2,29,Banjara Hills,Apartment,15,South,4.48,16955406.21
1238.0,3,3,11,Madhapur,Villa,6,East,3.02,15768381.25
1020.4,4,3,23,Kondapur,Apartment,7,North-East,6.9,7349082.13
1888.9,2,1,2,LB Nagar,Apartment,1,North-East,6.87,5211666.88
620.0,1,1,19,Gachibowli,Apartment,2,South,0.17,4877616.65
853.6,2,2,5,Madhapur,Studio,3,West,2.34,5579209.52
1219.2,1,1,10,Kondapur,Apartment,4,North,6.46,7779269.57
2287.6,5,5,23,LB Nagar,Villa,17,North,2.24,9152889.43
1979.9,2,2,14,Uppal,Independent House,5,South,9.63,6781615.32
497.5,2,1,30,Banjara Hills,Independent House,8,West,1.63,6592162.0
2143.2,4,4,3,Gachibowli,Independent House,4,North,7.48,25085015.45
2142.2,2,1,34,Uppal,Studio,10,South-West,9.98,6285668.4
754.3,2,2,24,Banjara Hills,Apartment,6,North,3.47,9289422.57
300.0,3,3,15,Uppal,Apartment,8,South,6.03,832614.28
1360.3,2,2,0,Madhapur,Independent House,1,South-West,1.06,10938401.09
2017.3,4,3,1,LB Nagar,Apartment,12,South-West,6.22,8117709.18
2275.2,3,3,14,Madhapur,Apartment,6,South,9.88,20781801.42
921.0,2,1,20,Kondapur,Apartment,16,West,9.73,6690144.84
2363.6,3,3,17,Miyapur,Apartment,24,East,4.12,10658128.47
300.0,4,4,10,Gachibowli,Apartment,12,South-West,8.21,3719505.46
1197.6,2,2,22,Kukatpally,Apartment,12,South,8.27,5442768.1
1170.5,3,2,21,Kukatpally,Studio,20,South,3.27,5669471.55
2033.8,2,2,12,Uppal,Apartment,8,South-West,8.23,7625292.34
2114.1,3,2,11,LB Nagar,Studio,3,North,1.62,4963269.72
1924.8,3,2,15,Miyapur,Studio,18,East,9.79,8303184.34
657.2,1,1,26,Kondapur,Apartment,16,North-East,8.64,4193803.01
1874.4,2,2,20,Kondapur,Independent House,11,South-West,5.11,11781082.36
1680.0,1,1,4,Kondapur,Independent House,9,West,3.85,12930604.4
480.8,3,3,32,Uppal,Independent House,0,South-West,9.46,1564600.83
300.0,3,2,7,Madhapur,Apartment,13,South,0.71,2810310.26
1970.9,2,2,23,Gachibowli,Apartment,13,South,4.98,19196512.39
1300.9,1,1,0,Madhapur,Apartment,12,South-West,4.87,11851783.21
693.1,4,3,8,Banjara Hills,Independent House,7,West,3.81,12329270.9
1285.5,2,2,19,Banjara Hills,Studio,3,North-East,1.13,13011999.64
1600.2,2,2,29,Banjara Hills,Independent House,14,East,2.51,22895702.03
1354.4,1,1,19,Uppal,Independent House,15,North-East,9.83,5071804.15
546.4,3,2,1,Miyapur,Studio,4,East,8.08,2374948.12
2437.1,2,2,33,Miyapur,Independent House,3,East,8.38,10019170.85
1952.3,4,4,9,Kondapur,Apartment,12,North,5.1,14452300.79
1215.5,3,3,12,Miyapur,Studio,1,North,6.62,4744713.04
1237.7,1,1,3,Gachibowli,Apartment,4,North-East,5.05,10439301.88
1597.7,3,2,24,LB Nagar,Apartment,15,South-West,6.77,4758894.97
778.7,2,1,15,Kukatpally,Apartment,7,South-West,8.63,3934587.74
1577.5,1,1,7,LB Nagar,Studio,11,South,2.43,4000852.94
668.1,3,2,22,Gachibowli,Apartment,17,East,9.51,7220047.73
1361.2,2,2,6,Kondapur,Apartment,4,North-East,9.14,9550642.97
757.3,4,3,18,Miyapur,Apartment,5,North,4.19,3029110.85
785.1,3,2,23,Kondapur,Apartment,7,South,9.77,5258473.28
2305.1,2,2,28,Kondapur,Apartment,10,South,8.83,15049015.41
1432.6,5,4,24,Gachibowli,Independent House,13,South-West,0.4,14855092.26
1514.1,3,3,19,Kondapur,Studio,1,North,0.42,7923233.92
300.0,2,2,1,Gachibowli,Apartment,11,South-West,7.07,3436234.2
1071.6,3,2,8,Madhapur,Apartment,17,South,7.84,11034692.24
1653.7,5,4,20,Miyapur,Apartment,21,North-East,2.49,6309933.24
1506.8,2,2,18,Miyapur,Apartment,13,South-West,4.99,6413698.45
300.0,2,1,18,Kukatpally,Independent House,15,North-East,5.39,1833762.88
1513.9,2,1,25,Madhapur,Independent House,20,North,4.46,13893971.09
1601.6,2,1,31,LB Nagar,Independent House,18,West,0.69,4628521.35
2106.1,2,1,17,Banjara Hills,Apartment,13,East,2.19,27863391.14
1039.6,3,3,4,Madhapur,Independent House,14,North,8.15,12196151.78
300.0,4,4,15,Banjara Hills,Apartment,24,South,0.73,4737936.79
851.8,3,3,8,Madhapur,Apartment,18,North-East,6.22,9041021.48
796.6,1,1,18,LB Nagar,Studio,6,East,6.34,1682105.33
1805.2,2,2,20,Madhapur,Villa,11,North,9.56,19633627.64
300.0,1,1,19,LB Nagar,Studio,18,South-West,9.87,811425.46
1153.4,2,1,20,Kondapur,Studio,13,North-East,9.45,7417241.66
2184.2,3,3,10,Miyapur,Independent House,10,South-West,5.41,9755516.14
1404.0,2,2,6,Kondapur,Studio,15,South-West,0.42,8080137.32
1893.0,4,3,29,Madhapur,Apartment,9,East,2.77,17905704.52
497.0,3,2,14,Uppal,Apartment,16,North-East,4.75,1734579.98
518.9,3,3,7,LB Nagar,Apartment,18,South,0.39,1895855.87
2190.5,4,3,34,Madhapur,Apartment,22,North,0.37,16434941.19
1455.7,3,3,1,Uppal,Apartment,23,North-East,3.24,5250385.67
1456.8,4,4,12,Madhapur,Apartment,17,South-West,3.87,13528685.26
785.0,4,3,25,Miyapur,Independent House,18,North,5.81,3533509.1
1455.4,3,3,14,Uppal,Villa,19,South,9.33,6555871.54
769.7,2,2,29,Kondapur,Independent House,8,North,3.91,4849565.43
2052.8,2,2,12,Miyapur,Apartment,22,South,0.48,8893326.42
2900.3,4,4,22,Madhapur,Independent House,12,South-West,5.4,27544984.05
1666.2,1,1,14,Banjara Hills,Apartment,21,North-East,3.58,22239837.07
1050.8,5,5,16,Banjara Hills,Apartment,5,West,9.01,17429645.46
300.0,2,1,17,Kondapur,Apartment,7,South-West,4.31,2019201.38
473.5,3,3,34,LB Nagar,Apartment,15,South,3.22,1250014.53
2255.2,2,1,26,Gachibowli,Apartment,14,South,7.24,22300439.04
833.9,5,5,12,Kondapur,Villa,10,East,4.93,7338079.28
1196.0,1,1,14,Miyapur,Villa,5,North,5.55,6633828.77
1760.4,2,1,14,Gachibowli,Independent House,5,West,1.52,17069945.21
2215.3,4,3,25,Miyapur,Apartment,18,East,3.75,9420462.74
1290.2,2,2,20,Madhapur,Villa,0,South-West,0.46,12623589.59
1177.4,2,2,18,Uppal,Independent House,2,East,7.55,3978014.81
1439.4,4,3,15,Kukatpally,Apartment,23,North-East,2.46,7215781.43
1054.8,4,3,13,Kukatpally,Independent House,24,North-East,1.21,7121956.95
1084.4,1,1,19,Gachibowli,Apartment,1,South,5.9,9834267.44
1626.5,3,3,29,Kondapur,Apartment,3,South-West,5.79,9284136.9
1501.9,2,2,33,Uppal,Apartment,8,East,3.16,3655479.86
2572.4,2,1,2,Banjara Hills,Apartment,14,East,9.62,35210866.16
1641.4,3,2,8,Uppal,Apartment,4,South-West,6.36,6397482.93
2033.1,2,1,23,Kondapur,Apartment,24,West,9.26,13968421.76
810.8,2,1,5,Miyapur,Apartment,12,West,3.01,3869216.91
1688.8,2,2,21,Miyapur,Studio,13,North-East,5.52,5718227.35
1002.4,4,4,14,Kondapur,Apartment,4,South,4.14,6479313.16
1617.5,3,2,6,Madhapur,Apartment,7,West,4.13,14624812.61
1778.7,2,2,17,Miyapur,Apartment,18,West,0.48,7506293.29
1427.4,4,4,17,Gachibowli,Studio,15,South-West,2.2,12425003.99
2724.0,4,3,24,Kukatpally,Independent House,5,South,8.69,14489816.2
2185.4,2,2,28,Banjara Hills,Studio,11,South-West,8.5,23186612.43
2047.5,5,5,33,Miyapur,Apartment,4,South,1.05,7501269.35
1820.4,2,1,15,Miyapur,Apartment,10,South,0.18,6395020.85
2369.8,2,2,24,Banjara Hills,Independent House,5,North,1.02,28751416.04
609.7,2,2,27,Uppal,Apartment,24,East,6.39,1948874.35
2153.7,2,1,34,Kondapur,Villa,7,South,2.4,16242593.94
854.8,3,3,22,Uppal,Studio,11,North-East,7.63,2717616.27
1089.6,3,2,8,Banjara Hills,Apartment,16,North,0.06,15245776.35
1708.8,4,3,11,Gachibowli,Studio,1,South-West,7.16,14511281.38
2078.3,2,1,7,Kondapur,Independent House,5,North-East,8.86,13951034.25
765.5,2,2,6,Gachibowli,Apartment,24,South,0.45,7869577.69
1118.1,2,2,10,Madhapur,Apartment,17,South,8.67,10436453.27
1453.6,2,2,17,Miyapur,Apartment,6,West,9.18,6145537.87
1297.5,5,4,27,Gachibowli,Villa,10,South-West,5.36,17682867.7
1869.7,3,2,10,Miyapur,Apartment,21,East,2.85,8974743.46
3289.8,4,4,6,Banjara Hills,Apartment,4,East,5.63,43674453.74
1630.6,3,2,4,Gachibowli,Independent House,7,North-East,3.11,19193593.32
995.6,2,1,6,Kukatpally,Apartment,6,East,9.33,5551900.99
686.9,2,1,15,Uppal,Apartment,16,South,5.44,2590125.5
1221.1,2,2,14,Gachibowli,Independent House,13,West,7.99,15445858.78
882.9,4,4,13,Madhapur,Apartment,12,North-East,6.1,9574859.15
1657.2,2,1,11,LB Nagar,Apartment,9,East,2.88,4310031.71
1648.6,1,1,15,LB Nagar,Apartment,8,West,5.0,4724993.66
1145.3,3,2,22,Kukatpally,Apartment,12,South,8.8,5543007.99
2491.7,2,2,1,Kondapur,Apartment,19,North,3.83,20243344.84
995.5,3,3,31,Madhapur,Villa,20,West,3.41,12238387.64
1334.3,1,1,10,Kukatpally,Studio,19,East,9.56,6974253.29
1751.5,3,2,4,Kukatpally,Apartment,1,East,3.34,8697616.05
1890.6,2,2,6,Madhapur,Studio,12,West,8.6,16592580.72
2102.7,4,3,19,Banjara Hills,Independent House,9,West,1.78,29972731.56
1635.7,3,3,18,Gachibowli,Independent House,23,East,7.92,19159601.44
1978.0,1,1,3,LB Nagar,Independent House,10,South,6.15,6729642.31
1034.2,3,3,17,Kondapur,Independent House,6,South-West,1.2,6016040.59
1904.9,4,4,7,Kondapur,Villa,6,North-East,0.64,16239989.64
1897.6,3,3,31,Kondapur,Apartment,4,West,2.98,12341269.97
2232.1,4,4,10,Uppal,Apartment,11,North,6.57,8248837.22
482.4,4,4,34,Banjara Hills,Apartment,6,North-East,3.6,5897190.83
901.0,2,1,20,Banjara Hills,Apartment,14,South-West,2.71,12057131.48
1852.7,2,2,33,Madhapur,Independent House,5,South,5.82,14788914.44
300.0,2,1,19,Kondapur,Apartment,14,West,9.53,2138644.96
1670.6,3,3,4,Miyapur,Apartment,15,South-West,1.22,7623324.99
1982.9,5,5,22,Kondapur,Apartment,16,South,6.45,12245768.14
1083.0,3,2,16,Kondapur,Apartment,22,East,9.12,8568098.73
1163.4,2,2,28,LB Nagar,Independent House,1,West,5.41,3519509.63
809.2,5,4,13,Gachibowli,Independent House,1,South,9.64,8549290.13
1113.1,3,2,6,Kukatpally,Apartment,11,North-East,5.98,6231558.33
1129.1,2,2,3,Kukatpally,Apartment,12,South-West,6.73,7251090.85
1024.4,4,4,26,Kondapur,Apartment,18,West,7.91,6870917.53
994.3,2,1,8,Uppal,Apartment,5,North-East,2.0,3217396.13
1250.9,3,3,23,Madhapur,Independent House,11,South-West,5.6,15629175.91
1244.3,3,3,4,LB Nagar,Independent House,15,North-East,6.14,4908573.53
2430.8,4,4,2,Madhapur,Apartment,16,North-East,1.2,24436537.36
1183.2,2,2,24,Kukatpally,Apartment,13,North-East,4.56,6231103.06
1589.3,2,1,12,Kukatpally,Studio,14,South,7.71,8068955.0
1082.7,3,2,19,Uppal,Villa,4,South,0.41,4072886.22
1075.7,4,3,0,Kondapur,Apartment,11,South,4.13,7273786.19
462.6,1,1,6,Madhapur,Apartment,13,South-West,1.46,4245217.46
535.7,2,1,3,Banjara Hills,Apartment,1,North,1.76,7358623.48
736.2,5,4,9,Madhapur,Studio,24,North-East,5.13,6384417.11
1501.0,3,3,9,Uppal,Apartment,15,East,0.29,5764915.0
1991.9,2,2,13,Banjara Hills,Apartment,17,North,4.25,31726985.01
417.3,2,1,8,LB Nagar,Studio,13,South-West,0.26,1098470.88
1098.0,2,2,15,Kukatpally,Independent House,23,West,9.26,6774621.59
648.2,3,3,31,Gachibowli,Apartment,0,North-East,8.83,4728339.21
1254.6,3,3,3,Madhapur,Apartment,23,South,2.12,12136628.29
1991.7,3,2,31,Kukatpally,Apartment,5,East,0.66,7406734.06
1154.2,1,1,14,Madhapur,Independent House,22,East,2.51,9171720.77
1373.9,4,4,20,Banjara Hills,Apartment,1,East,0.28,17426035.83
2200.4,1,1,23,Miyapur,Studio,7,North,7.35,8020690.54
1651.8,4,3,25,Miyapur,Studio,14,West,5.74,5396295.44
981.9,1,1,33,Banjara Hills,Apartment,16,South-West,5.44,11966784.07
1487.4,2,1,34,Madhapur,Independent House,0,North-East,8.52,11970796.52
944.8,2,1,3,Gachibowli,Apartment,8,East,8.09,9906438.43
1631.3,2,1,14,Miyapur,Apartment,21,South,4.09,6574643.93
1683.4,2,2,18,Miyapur,Independent House,4,North-East,6.1,8178868.84
648.1,3,3,18,Miyapur,Apartment,23,South,4.42,2637641.32
1496.3,4,4,34,LB Nagar,Apartment,17,East,6.24,3729609.41
1335.3,3,2,22,Uppal,Apartment,24,East,1.52,3883235.23
1699.6,3,3,14,Madhapur,Apartment,22,South,3.0,16254502.46
1857.2,2,1,32,Banjara Hills,Apartment,5,South-West,2.52,20579391.89
1662.6,4,4,25,Kukatpally,Independent House,23,East,1.67,8821602.0
1233.2,1,1,27,LB Nagar,Villa,12,East,4.14,4540383.5
1913.3,2,1,21,LB Nagar,Independent House,6,West,7.26,6018482.46
919.8,1,1,2,Gachibowli,Villa,22,West,3.96,10941164.55
673.7,2,1,33,Gachibowli,Apartment,11,South-West,9.83,6417765.6
300.0,3,2,24,Banjara Hills,Villa,17,South-West,3.02,5960332.3
1361.4,2,2,5,Gachibowli,Apartment,15,West,9.48,15477240.04
948.1,1,1,8,Kukatpally,Apartment,7,North-East,1.94,4551336.01
1618.8,4,3,11,Kukatpally,Studio,24,East,3.21,8926259.26
315.8,1,1,8,Madhapur,Apartment,20,South,1.64,2664827.8
1044.1,3,3,21,Madhapur,Apartment,13,South,2.38,8871601.32
1658.6,2,2,19,Uppal,Apartment,14,South-West,1.57,5368806.01
833.6,4,4,7,Kondapur,Apartment,1,North-East,6.25,5779681.73
1625.1,3,2,24,Uppal,Apartment,18,East,2.01,5094793.84
1093.6,1,1,10,LB Nagar,Apartment,22,North,0.85,3178736.59
1382.0,4,4,5,Madhapur,Studio,24,East,2.66,13081317.25
1727.3,2,2,33,Gachibowli,Apartment,13,East,6.78,16399994.1
1924.0,2,2,11,LB Nagar,Apartment,24,East,4.29,5951299.64
1450.9,3,2,8,Miyapur,Apartment,19,South-West,1.56,6276782.78
952.3,3,2,25,Madhapur,Villa,12,West,0.63,9853067.05
1148.1,2,1,26,Kukatpally,Apartment,20,North-East,7.29,6328628.76
1750.3,2,1,5,Kukatpally,Apartment,3,North-East,7.04,8245462.36
838.3,2,1,1,LB Nagar,Apartment,16,South-West,4.62,3255776.0
1302.1,3,2,29,Madhapur,Independent House,15,South,5.28,12312592.68
1187.8,5,4,17,LB Nagar,Villa,12,South-West,2.4,4475826.89
1343.2,2,1,15,LB Nagar,Independent House,16,North,4.85,4569218.06
844.9,5,5,14,Gachibowli,Villa,21,North-East,7.29,12342222.55
381.4,2,2,20,Gachibowli,Apartment,14,North-East,7.72,3729723.66
1686.4,4,3,23,Kukatpally,Apartment,9,South,3.4,7577640.81
1930.3,4,3,2,Banjara Hills,Apartment,10,West,6.79,30897984.65
414.3,3,3,9,Madhapur,Apartment,14,East,4.86,3430618.26
1602.9,1,1,33,Kondapur,Apartment,14,East,7.39,9319347.57
1995.8,2,1,5,LB Nagar,Apartment,7,North,6.91,5857884.67
1727.8,1,1,31,LB Nagar,Apartment,13,North,7.5,4500904.89
1170.8,3,2,14,Gachibowli,Independent House,7,West,1.65,11349583.86
881.1,5,4,6,LB Nagar,Apartment,23,North-East,3.22,3043046.69
1444.5,2,2,20,Banjara Hills,Independent House,13,East,2.65,22379899.49
1536.3,2,1,23,Miyapur,Independent House,20,North,4.47,7312355.39
1452.7,2,2,12,Uppal,Apartment,9,North,4.65,5247485.32
1300.9,3,2,27,LB Nagar,Apartment,9,South-West,6.67,3534544.82
804.5,3,2,2,Gachibowli,Independent House,7,East,5.7,9627840.41
1632.5,2,1,4,LB Nagar,Independent House,14,South-West,5.8,6057820.23
1659.0,3,2,21,Banjara Hills,Apartment,15,North-East,6.33,26061956.98
1510.5,1,1,20,Kukatpally,Apartment,14,North-East,2.73,6968457.0
1461.0,3,2,24,Kondapur,Independent House,20,North-East,2.26,10951545.03
2323.6,2,1,29,Madhapur,Independent House,12,North-East,2.15,18722297.05
1056.6,2,2,32,Banjara Hills,Apartment,20,North,7.79,13502486.26
2104.8,3,3,17,Uppal,Apartment,1,South,0.97,5951311.41
996.3,3,2,17,Madhapur,Studio,9,North,3.16,7528604.71
2009.9,2,1,32,Miyapur,Apartment,17,South-West,2.8,7174236.31
2078.4,4,3,33,Kondapur,Studio,9,West,5.92,10250850.4
1238.8,3,3,1,Madhapur,Apartment,18,South,9.24,12940043.34
2313.5,2,1,17,LB Nagar,Apartment,14,West,8.79,7315784.85
1658.0,5,4,32,Banjara Hills,Apartment,12,North,1.05,19909642.21
917.5,5,5,1,Miyapur,Apartment,13,South-West,5.4,4934695.88
1194.2,1,1,34,Miyapur,Studio,22,West,0.37,3525787.69
2023.0,5,5,26,Kondapur,Apartment,16,South-West,7.92,15430410.47
